"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"105","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187364","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"106","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187365","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"107","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171622","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"108","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171582","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"109","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171388","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"110","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171370","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"111","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171580","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"112","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171581","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"113","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171571","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"114","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171577","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"115","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171579","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"116","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171411","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"117","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171469","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"118","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171470","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"119","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171466","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"120","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171467","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"121","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171454","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"122","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171451","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"123","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171468","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"124","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171410","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"125","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171502","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"126","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171449","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"127","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171420","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","21-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"128","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184334","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"129","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184338","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"130","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184332","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"131","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184330","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"132","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184328","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"133","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184316","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"134","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184319","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"135","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171611","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"136","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171612","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"137","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171613","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"138","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171614","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"139","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171392","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"140","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171393","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"141","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171592","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"142","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171610","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"143","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184339","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"144","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184342","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"145","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184343","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"146","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184543","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"147","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184472","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"148","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184544","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"149","Tamil Nadu","Lighting of public spaces","WS/MP18179/2025-2026/245339","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","09-Sep-2026","KRS Enterprises","Payment In-Progress","862659"
"150","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/290324","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"151","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290325","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"152","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290320","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"153","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290321","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"154","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290322","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"155","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290317","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"156","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/290318","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"157","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/290319","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","219000"
"158","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292202","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"159","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292203","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"160","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/292201","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","93750"
"161","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/292197","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","93750"
"162","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292198","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"163","Jharkhand","Construction of community centers and community halls","WS/MP18072/2026-2027/292193","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","750000"
"164","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292195","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"165","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/296351","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"166","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/296348","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"167","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP380/2026-2027/273248","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","09-Sep-2026","amar nath bagli kalan","Payment In-Progress","35562"
"168","Punjab","Construction of footpaths and pedestrian ways","WS/MP18155/2025-2026/247629","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Sep-2026","MS LOVELY ENTERPRISES","Payment In-Progress","45600"
"169","Punjab","Construction of footpaths and pedestrian ways","WS/MP18155/2025-2026/247629","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","07-Sep-2026","MS LOVELY ENTERPRISES","Payment In-Progress","45600"
"170","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/277326","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"171","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/276181","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"172","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/274242","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"173","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/273088","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"174","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/274243","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"175","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/273087","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"176","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/283712","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"177","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/291385","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","160000"
"178","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/291383","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"179","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283444","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"180","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/291386","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","160000"
"181","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283445","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"182","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283449","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"183","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283448","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"184","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283446","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"185","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283586","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"186","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/283588","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","185000"
"187","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283450","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"188","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/283589","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","09-Sep-2026","NARAYAN MAHATO","Payment In-Progress","65000"
"189","Kerala","Lighting of public spaces","WS/MP18305/2026-2027/287608","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","09-Sep-2026","ALLUMINA ELECTRONICS","Payment In-Progress","173006"
"190","Kerala","Purchase of vans and buses for educational institutions","WS/MP18095/2026-2027/246711","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","03-Sep-2026","TATA MOTORS","Payment In-Progress","1601555"
"191","West Bengal","Construction of stadiums","WS/MP18272/2026-2027/222318","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","KALIPADA SAREN","JHARGRAM(ST)","17-Aug-2026","RAJAT SUBHRA MANDAL","Payment In-Progress","4881631"
"192","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292872","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","100000"
"193","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292874","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"194","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292869","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"195","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/292870","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"196","Jharkhand","Providing drains and gutters for public drainage","WS/MP18072/2026-2027/292873","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","75000"
"197","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/273084","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","225000"
"198","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/283710","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"199","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292834","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","125000"
"200","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292830","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","125000"
"201","Jharkhand","Providing supply pipelines for drinking water","WS/MP18072/2026-2027/296342","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"202","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292829","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
