"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2509","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264630","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","04-Aug-2026","CHHOTU LAL MEENA","Payment In-Progress","359000"
"2510","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241157","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","07-Aug-2026","RAGHAV CONSTRUCTION","Payment In-Progress","697616"
"2511","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP568/2026-2027/288939","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","07-Sep-2026","SARPANCH SACHIV GRAM PANCHAYAT DHABA","Payment In-Progress","250000"
"2512","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP578/2026-2027/262529","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","25-Aug-2026","LIMAJ GRAM PANCHAYAT","Payment In-Progress","348538"
"2513","Karnataka","Lighting of public spaces","WS/MP18082/2026-2027/213887","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","01-Sep-2026","KIRAN GOWDA R","Payment In-Progress","243406"
"2514","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243432","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","50088"
"2515","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243385","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","45627"
"2516","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243411","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","17017"
"2517","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243429","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","61353"
"2518","Telangana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18194/2026-2027/236887","SANGAREDDY(District Collector Sangareddy_IDA)","SURESH KUMAR SHETKAR","ZAHIRABAD","03-Sep-2026","SHREE DURGA PARAMESHWARI MOTORS PVT LTD","Payment In-Progress","110000"
